id,text,mes_date,views,mes_title,mes_description
17, вакансия frontend разработчик г алматы startup легкий и удобный сервис позволяющий сравнить бизнесы оставить отзыв цель проекта создать универсальное приложение для потребителя которое поможет ему в досуге сэкономит его время и деньги и впоследствии улучшит сервис в целом вилка 200 000 400 000 тг требования опыт реальной работы от 1 года опыт работы с react опыт работы с typescript умение верстать scss css modules flex box grid понимание git знания английского на уровне чтения документации наличие портфолио со ссылками на выполненные проекты примеры кода обязанности верстка интерфейсов внутренних сервисов и подключение к backend у написание тестов e2e unit работа над новыми проектами условия официальное трудоустройство оформление по тк рк режим работы с 10 00 11 00 до 18 00 возможность гибкого графика 1 2 дня в неделю можно работать удаленно график работы 5 2 контакты ,2020-11-04 12:03:05+00:00,710.0,none,none
18, вакансия backend разработчик node js г алматы startup легкий и удобный сервис позволяющий сравнить бизнесы оставить отзыв цель проекта создать универсальное приложение для потребителя которое поможет ему в досуге сэкономит его время и деньги и впоследствии улучшит сервис в целом вилка 200 000 400 000 тг требования опыт реальной работы от 1 года опыт работы с node js опыт работы с typescript опыт работы с базами данных pgsql знания английского на уровне чтения документации наличие портфолио со ссылками на выполненные проекты примеры кода обязанности написание api документации и сервисов написание тестов условия официальное трудоустройство оформление по тк рк режим работы с 10 00 11 00 до 18 00 возможность гибкого графика 1 2 дня в неделю можно работать удаленно график работы 5 2 контакты ,2020-11-04 12:03:42+00:00,767.0,none,none
26,middle senior android разработчик almanit алматы middle от 500 000тг на руки senior от 700 000 тг на руки график full time кто мы almanit динамично развивающаяся it компания в составе экосистемы jysan jysan bank jysan invest jysan garant и т д задачи развитие и поддержка наших it продуктов разработка нового функционала и доработка текущего интеграция с системами посредством api требования знания kotlin java архитектура mvp умение работать с livedata retrofit глубокое понимание android sdk алгоритмы верстка ui android support library многопоточное программирование плюшки гибкий график и возможность работать удаленно развитие и обучение за наш счет мед страхование возможность включить членов семьи новый офис с современной техникой в центре города сv 7 775 997 01 76,2020-11-05 06:04:41+00:00,651.0,none,none
27,дб ао сбербанк сбер набираю в команду крутых test automation engineers в направления 1 автоматизация регрессионного тестирования 2 нагрузочногое тестирование обязанности автоматизация функционионального тестирования продуктов банка обеспечение качества выпускаемых банком релизов проведение нагрузочного тестирования систем банка с помощью инструмента разработка и актуализация скриптов и профилей нагрузки сбор и анализ отчётов тестирования требования знание java groovy на базовом уровне опыт тестирования web desktop mobile приложении владение инструментом apache jmeter опыт автоматизации тестовых сценариев с помощью инструментов selenide selenium katalon studio ranorex опыт работы с jenkins условия открытое qa community насчитывающее более 20 инженеров менторство опыт пао банка комфортный офис лояльное руководство возможность принять участие в крупнейшей digital agile трансформации в казахстане зп от 300к премии обсуждается индивидуально по всем вопросам 77073710642 кайырлы куанышпаев head of qa sberbank kazakhstan,2020-11-05 07:28:22+00:00,760.0,none,none
28,для бесплатного размещения вакансий прошу писать описание вакансии должно выглядеть следующим образом вакансия наименование позиции компания наименование компании локация указать город зарплатная вилка от ххх до yyy суммы указывать в тенге обязанности задачи которыми будет заниматься соискатель требования навыки необходимые для данной позиции условия что предлагает ваша организация контакты данные ответственного за данную вакансию рекрутера с помощью которых соискатель сможет связаться правила публикуются вакансии связанные только с it индустрией минимальный объём текста только основная информация выделять заголовки жирным шрифтом ,2020-11-12 06:02:00+00:00,463.0,none,none
30, mobile qa компания prime source город алматы зп middle от 200к график работы full time требования опыт тестирования клиент серверных приложений минимум 1 год с субд и базовые знания sql знания теории тестировании особенностей тестирования мобильных приложений методологий разработки программного обеспечения навыки программирования на одном из оо яп java python groovy php задачи рецензирование спецификаций и технических заданий разработка и актуализация тестовой документации планов тестирования тестовых вариантов чек листов и др тестирование программных продуктов разработка автоматизированных тестов а также выполнение ручных участие во всех этапах разработки продуктов с целью повышения их качества условия дружный и большой коллектив единомышленников работа над полезными международными и местными проектами возможность влиять на процессы внутри компании и привносить новые идеи cv или tester qa fulltime,2020-11-12 06:20:09+00:00,473.0,none,none
31, алматы businessanalyst бизнес аналитик компания prime source город алматы зп middle от 300к график работы full time требования иметь высшее техническое математическое образование опыт работы бизнес аналитиком от 3 лет опыт использования инструментов моделирования бизнес процессов знание основ системного анализа знание цикла разработки по знание sql минимум написание простых запросов опыт проектной деятельности работа с приоритетами и планированием второстепенное умение оценки и контроля сроков реализации второстепенное приветствуется опыт работы с draw io microsoft visio figma уровень английского не ниже intermediate опыт работы в банках будет плюсом задачи выявление ошибок работы системы проведение анализа причины возникновения ошибки детализированное описание ошибки выявление и анализ потребности заказчика разработка концепции решения оформление концепции в техническое задание с конкретными требованиями к будущему функционалу детализирование каждого требования в виде спецификации user story консультация программистов и тестировщиков во время разработки описание сценариев использования обучение бизнес пользователей работы с системой написание инструкций условия современный офис в верхней части города с потрясающим видом на горы приятности в виде сладких завтраков и игровой комнаты cv или,2020-11-12 06:20:44+00:00,562.0,none,none
32,главный специалист инфраструктура и сервисы ит департамент ао исламский банк al hilal город алматы з п 200 000 обязанности регистрация и первичный анализ запросов пользователей разрешение проблемных ситуации в рамках своей компетенции эскалировать инциденты и запросы при невозможности самостоятельного решения проблем техническая и программная поддержка пользователей консультация пользователей по вопросам работы с ит оборудованием и по составление инструкции по работе с программным обеспечением оперативная коммуникация с поставщиками информационных систем и услуг связи в рамках технической поддержки при возникновении проблем с работоспособностью ит инфраструктуры инсталляция и настройка принтеров сканеров ip телефонов контроль ремонта оборудования и расходных материалов установка по участие в монтаже настройке вводе в эксплуатацию серверного оборудования компьютерной и оргтехники требования степень бакалавра компьютерных наук или эквивалент опыт работы не менее 1 года хорошие знания и навыки по установке и настройке офисного по microsoft windows 10 ms office и т п навыки администрирования серверных операционных систем семейства windows и linux дают преимущества базовые знания сетевых протоколов tcp ip https ssl знакомство с виртуализацией vmware esx hyper v навыки ведения и работы с технической документацией хорошие коммуникативные навыки уровень владения английским языком не ниже intermediate дополнительные навыки самомотивация умение работать в команде желание изучать новые технологии навыки устранения неполадок аналитические способности требуемый уровень кандидата средний уровень профессиональные навыки http linux os vmware tcp ip личные навыки решение проблем аналитические навыки способность работать в команде условия офис в бизнес центре есентай медицинская страховка отпуск 22 рабочих дня резюме направлять на с указанием вакансии в тебе письма,2020-11-13 07:06:11+00:00,687.0,none,none
33, вакансия аналитик данных qlik г алматы компания первое кредитное бюро вилка 300 000 500 000 тг требования опыт работы от 1 года на аналогичной позиции опыт работы с big data знание sql уверенный пользователь инструмента qlik ms power bi tableau понимание работы финансового сектора рк знание финансового анализа бизнес анализа обязанности разработка и создание аналитических отчётов презентаций анализ источников данных реализация проектов в bi системе qlik разработка дизайна и функционала приложения дэшюордов контакты ,2020-11-17 05:19:14+00:00,614.0,none,none
34, вакансия backend разработчик г алматы компания первое кредитное бюро требования знание golang и или java и или python знание в soap rest знание и опыт работы с nosql знание и опыт работы с oracle mssql опыт работы с docker обязанности разработка программного обеспечения поддержке существующих сервисов компании контакты ,2020-11-20 09:29:08+00:00,471.0,none,none
35,компания softttchsolutions находится в поиске программиста c с релокацией в ташкент узбекистан зп от 2000 до 5000 задачи стоящие перед успешным кандидатом разработка и поддержка корпоративных многопользовательских клиент серверных приложений на основании технических заданий планирование циклов разработки от проектирования новой архитектуры до рефакторинга существующего кода управление группами разработчиков 5 6 человек актуализация и формализация задач планирование постановка распределение задач контроль за сроками и ходом выполнения возможно подбор новых разработчиков ведение технической документации проектов профиль успешного кандидата опыт работы от 5 лет опыт разработки информационных систем веб приложений с использованием c asp net web api mvc аналитический склад ума умение работать с большим объемом информации умение работать в режиме многозадачности стрессоустойчивость ответственность пунктуальность исполнительность условия компании конкурентная заработная плата работа с одним из крупнейших холдингов узбекистана компенсация на релокацию перелет жилье контакты 99890 9837588 тг ,2020-11-23 12:45:10+00:00,314.0,none,none
