id,text,mes_date,views,mes_title,mes_description
24,analyst ведущий системный аналитик про100 диджитал агентство специализирующееся продвижении стоматологических клиник ирина ашумова контакты связи ссылке,2018-03-20 10:06:35+00:00,388.0,ведущий системный аналитик,march 19 2018 компания разработчик собственной crm системы продвигаемой в текущий момент в медицинской сфере в россии команда амбициозная и целеустремленная заряженная на лидирующие позиции в россии и снг где офис в г ульяновск обязателен переезд условия компания готова предложить зп согласно пожеланиям кандидата квартира требования 1 умение взаимодействовать с заказчиками и экспертами предметных областей 2 разработка тз постановка задач исходя из тз 3 знание систем прототипирования 
25,analyst support tech support analyst mobio технологичное агентство продвижению мобильных приложений илья серегин резюме отправить сайт,2018-03-20 11:01:26+00:00,419.0,none,none
26,analyst remote маркетинговый аналитик skyeng возможна удаленная работа денис пушкин резюме присылать,2018-03-21 10:05:06+00:00,1273.0,none,none
27,datascience gamedev 2 data scientist junior middle senior data scientist сбербанк александр откликнуться александру телеграм почты data scientist проект обучению киберспортивным дисциплинам l2p limited международная онлайн обучению повышению игровой техники популярных киберспортивных дисциплинах алла иванова контакты,2018-03-22 10:00:18+00:00,1418.0,none,none
28,analyst бизнес аналитик qlean евгений гапон резюме присылать,2018-03-23 08:09:41+00:00,464.0,none,none
29,analyst старший аналитик фроду яндекс такси маргарита куранина откликнуться сайт яндекса,2018-03-23 11:59:21+00:00,1592.0,none,none
30,developers analyst students internship стажировка разработчиков аналитиков яндекс открывает набор летнюю стажировку приглашаюся студенты аспиранты выпускники технических вузов россии стран снг месяца станете полноправными участниками команды сможете получить полезный опыт ущерба учебы подробности ссылке,2018-03-27 12:05:00+00:00,494.0,none,none
31,scientist gamedev ai remote dota scientist gosu ai тренировочная платформа игроков соревновательные игры основанная искусственном интеллекте возможна удаленная работа кирилл чуваков резюме присылать,2018-03-28 08:58:50+00:00,477.0,none,none
32,analyst analytical consultant google арсен исрапилов откликнуться сайт компании арсену,2018-03-28 13:30:03+00:00,1510.0,none,none
33,analyst руководитель отдела аналитики head operation analysts skyeng глеб сологуб откликнуться hh глебу,2018-03-29 11:59:59+00:00,1669.0,none,none
34,analyst marketing web analyst wrike популярный сервис управления проектами совместной работы родион насакин спб откликнуться hh родиону,2018-03-29 14:00:16+00:00,1567.0,none,none
35,analyst bi head head bi growfood ит которая производит доставляет правильное здоровое питание жителей москвы петербурга александра кондрашова откликнуться,2018-03-29 15:01:21+00:00,421.0,none,none
36,analyst data analyst criteo мировой лидер электронного маркетинга наташа гришкина откликнуться наталье сайт criteo,2018-03-30 11:05:10+00:00,1543.0,none,none
37,datascience data scientist pulsepoint американская которая занимается онлайн рекламой уклоном health индустрию поиска пациентов клинических испытаний дмитрий спихальский откликнуться дмитрию,2018-03-30 12:57:46+00:00,382.0,none,none
38,analyst бизнес аналитик новое направление цифровых активов компании мтс ольга катина ольге,2018-03-30 14:00:08+00:00,1726.0,none,none
