id,text,mes_date,views,mes_title,mes_description
19, вакансия analyst marketing digital marketing analyst в альфа банк ищет альберт усманов его пост подробнее о вакансии,2018-03-02 12:00:44+00:00,568.0,none,none
20, вакансия analyst gamedev аналитик маркетинга мобильных игр в mail ru ищет руслан альмухаметов подробнее о вакансии,2018-03-05 12:13:32+00:00,544.0,none,none
22, вакансия analyst director директор по аналитике в инстамарт топ 3 игрок в доставке продуктов питания онлайн в россии полное описание вакансии здесь ищет асан курмангужин резюме присылать на,2018-03-19 08:09:15+00:00,356.0,none,none
23, вакансия marketing analyst менеджер по марктетинговым исследованиям в яндекс маркет описание вакансии ищет маргарита рябцева ее пост откаться через сайт яндекса или маргарите в личку,2018-03-19 11:48:29+00:00,370.0,none,none
24, вакансия analyst ведущий системный аналитик в про100 диджитал агентство специализирующееся на продвижении стоматологических клиник ищет ирина ашумова описание вакансии контакты для связи по ссылке,2018-03-20 10:06:35+00:00,388.0,ведущий системный аналитик,march 19 2018 компания разработчик собственной crm системы продвигаемой в текущий момент в медицинской сфере в россии команда амбициозная и целеустремленная заряженная на лидирующие позиции в россии и снг где офис в г ульяновск обязателен переезд условия компания готова предложить зп согласно пожеланиям кандидата квартира требования 1 умение взаимодействовать с заказчиками и экспертами предметных областей 2 разработка тз постановка задач исходя из тз 3 знание систем прототипирования 
25, вакансия analyst support tech support analyst в mobio технологичное агентство по продвижению мобильных приложений описание вакансии ищет илья серегин его пост резюме можно отправить через сайт и на,2018-03-20 11:01:26+00:00,419.0,none,none
26, вакансия analyst remote маркетинговый аналитик в skyeng возможна удаленная работа ищет денис пушкин его пост описание вакансии резюме присылать на,2018-03-21 10:05:06+00:00,1273.0,none,none
27, вакансия datascience gamedev 2 вакансии для data scientist junior и middle senior data scientist в сбербанк ищет александр ли его пост откликнуться можно александру в личку в телеграм или на почты и data scientist в проект по обучению киберспортивным дисциплинам в l2p limited международная компания по онлайн обучению и повышению игровой техники во всех популярных киберспортивных дисциплинах ищет алла иванова ее пост описание вакансии контакты здесь,2018-03-22 10:00:18+00:00,1418.0,none,none
28, вакансия analyst бизнес аналитик в qlean ищет евгений гапон его пост резюме присылать на,2018-03-23 08:09:41+00:00,464.0,none,none
29, вакансия analyst старший аналитик по фроду в яндекс такси ищет маргарита куранина ее пост описание вакансии откликнуться можно на и через сайт яндекса,2018-03-23 11:59:21+00:00,1592.0,none,none
30, developers analyst students internship стажировка для разработчиков и аналитиков яндекс открывает набор на летнюю стажировку приглашаюся студенты аспиранты и выпускники технических вузов из россии и стран снг на три месяца вы станете полноправными участниками команды и сможете получить полезный опыт без ущерба для учебы подробности по ссылке,2018-03-27 12:05:00+00:00,494.0,none,none
31, вакансия scientist gamedev ai remote dota scientist в gosu ai тренировочная платформа для игроков в соревновательные игры основанная на искусственном интеллекте возможна удаленная работа ищет кирилл чуваков его пост резюме присылать на,2018-03-28 08:58:50+00:00,477.0,none,none
32, вакансия analyst analytical consultant в google описание вакансии ищет арсен исрапилов его пост откликнуться можно через сайт компании или арсену в личку,2018-03-28 13:30:03+00:00,1510.0,none,none
